,name,category_0,category_1,take_out,review_count,stars,city_id,state_id
0,China Sea Chinese Restaurant,Restaurants,Chinese,True,11.0,2.5,1,1
1,Discount Tire Center,Tires,Automotive,False,24.0,4.5,1,1
2,Frankfurters,Restaurants,Hot Dogs,True,3.0,4.5,1,1
3,Fred Dietz Floral,Shopping,Flowers & Gifts,False,6.0,4.0,1,1
4,Kuhn's Market,Food,Grocery,False,8.0,3.5,1,1
5,Lincoln Bakery,Food,Bakeries,True,,4.0,1,1
6,Luigi's Pizzeria,Restaurants,Pizza,True,18.0,4.0,1,1
7,Mane Attractions Unlimited,Hair Salons,Beauty & Spas,False,4.0,3.0,1,1
8,R & B's Pizza Place,Restaurants,Pizza,True,17.0,4.0,1,1
9,Rusty Nail,Restaurants,American (Traditional),True,32.0,,1,1
10,Star Nails,Beauty & Spas,Nail Salons,False,7.0,2.5,1,1
11,Vivo,Restaurants,Italian,False,3.0,5.0,1,1
12,Emil's Lounge,Bars,American (New),True,26.0,4.5,2,1
13,Grand View Golf Club,Active Life,Golf,False,3.0,5.0,2,1
14,Advance Auto Parts,Automotive,Auto Parts & Supplies,False,3.0,3.5,3,1
15,Alexion's Bar & Grill,Bars,American (Traditional),True,23.0,4.0,3,1
16,Alteration World,Local Services,Sewing & Alterations,False,10.0,4.5,3,1
17,Amerifit,Active Life,Boxing,False,,3.0,3,1
18,Barb's Country Junction Cafe,Restaurants,Cafes,True,9.0,4.0,3,1
19,Carnegie Free Library,Public Services & Government,Libraries,False,4.0,4.5,3,1
20,Don Don Chinese Restaurant,Restaurants,Chinese,True,10.0,2.5,3,1
21,Extended Stay America - Pittsburgh - Carnegie,Hotels & Travel,Event Planning & Services,False,11.0,,3,1
22,Flynn's Tire & Auto Service,Auto Repair,Automotive,False,9.0,2.5,3,1
23,Forsythe Miniature Golf & Snacks,Active Life,Mini Golf,False,4.0,4.0,3,1
24,Gab & Eat,Breakfast & Brunch,Sandwiches,True,69.0,4.5,3,1
25,Heidelberg B P,Automotive,Gas & Service Stations,False,4.0,3.0,3,1
26,Kings Family Restaurant,Burgers,Breakfast & Brunch,True,10.0,3.5,3,1
27,Knorr's Sunoco Service,Automotive,Gas & Service Stations,False,3.0,3.5,3,1
28,Paddy's Pour House,Pubs,Irish,True,8.0,3.5,3,1
29,Papa J's,Restaurants,Italian,True,81.0,3.5,3,1
30,Porto Fino Pizzaria & Gyro,Restaurants,Pizza,False,4.0,2.5,3,1
31,Quaker State Construction,Home Services,Roofing,False,3.0,2.5,3,1
32,Rocky's Lounge,Bars,American (Traditional),True,10.0,4.0,3,1
33,Rossi Tailoring & Cleaners,Local Services,Dry Cleaning & Laundry,False,3.0,3.0,3,1
34,Shop N' Save,Food,Grocery,True,5.0,4.0,3,1
35,"Weinberg Lisa, DMD",Health & Medical,Dentists,False,8.0,2.5,3,1
36,Barnes & Noble Booksellers,Shopping,"Books, Mags, Music & Video",False,19.0,3.5,4,1
37,Bath & Body Works,Shopping,Cosmetics & Beauty Supply,False,5.0,4.5,4,1
38,Bed Bath & Beyond,Department Stores,Fashion,False,9.0,3.0,4,1
39,Dave & Buster's,Arts & Entertainment,American (Traditional),True,106.0,2.5,4,1
40,Dick's Sporting Goods,Sporting Goods,Fashion,False,,2.5,4,1
41,DSW Designer Shoe Warehouse,Shopping,Fashion,False,5.0,4.0,4,1
42,Duke's Upper Deck Cafe,Pubs,Bars,True,33.0,3.5,4,1
43,Enterprise Rent-A-Car,Hotels & Travel,Car Rental,False,4.0,3.5,4,1
44,Filene's Basement,Department Stores,Fashion,False,7.0,3.5,4,1
45,First Class Limousine Service,Hotels & Travel,Airport Shuttles,False,12.0,4.5,4,1
46,Giant Eagle,Food,Grocery,False,31.0,3.5,4,1
47,Gordon Shoes,Shopping,Fashion,False,6.0,4.0,4,1
48,Homestead Capri Pizza,Italian,Pizza,True,4.0,2.0,4,1
49,Italian Village Pizza,Restaurants,Pizza,False,6.0,2.5,4,1
50,Joe Dilorio's Auto Body Shop,Automotive,Body Shops,False,13.0,4.5,4,1
51,LOFT,Women's Clothing,Fashion,False,3.0,4.5,4,1
52,Lowe's Home Improvement,Home Services,Shopping,False,11.0,3.0,4,1
53,Marshalls,Shopping,Discount Store,False,9.0,3.0,4,1
54,Master Muffler & Brakes,Auto Repair,Automotive,False,3.0,3.5,4,1
55,McDonald's,Burgers,Fast Food,True,12.0,2.0,4,1
56,Mens Wearhouse,Men's Clothing,Fashion,False,8.0,2.0,4,1
57,Mitchell's Fish Market,Seafood,American (Traditional),True,122.0,3.5,4,1
58,Munhall Veterinary Hospital,Veterinarians,Pets,False,5.0,2.5,4,1
59,Old Navy,Women's Clothing,Men's Clothing,False,7.0,3.5,4,1
60,P.F. Chang's,Gluten-Free,Asian Fusion,True,95.0,3.0,4,1
61,Pittsburgh Improv Comedy Club,Nightlife,Comedy Clubs,False,45.0,3.0,4,1
62,Randy's Beer Barrel Pub,Pubs,Bars,False,3.0,2.5,4,1
63,Rock Bottom,Food,American (Traditional),True,148.0,3.5,4,1
64,Sandcastle Water Park,Active Life,Swimming Pools,False,19.0,3.0,4,1
65,Sing Sing,Piano Bars,Nightlife,False,32.0,3.5,4,1
66,Sleep Pittsburgh,Shopping,Mattresses,False,4.0,5.0,4,1
67,South Hills Family Medicine,Doctors,Health & Medical,False,3.0,1.5,4,1
68,Starbucks,Food,Coffee & Tea,True,25.0,3.5,4,1
69,Target,Department Stores,Fashion,False,23.0,3.5,4,1
70,TGI Fridays,Bars,American (Traditional),True,23.0,2.5,4,1
71,TJ Maxx,Department Stores,Fashion,False,7.0,4.0,4,1
72,Tunnel O Suds,Car Wash,Automotive,False,5.0,4.5,4,1
73,Uno Pizzeria & Grill,American (Traditional),Pizza,True,55.0,3.0,4,1
74,Victoria's Secret,Shopping,Lingerie,False,5.0,2.0,4,1
75,Wendy's,Burgers,Fast Food,True,7.0,3.0,4,1
76,Yankee Candle Co.,Gift Shops,Flowers & Gifts,False,4.0,4.5,4,1
77,Applebee's,Bars,American (Traditional),True,9.0,3.5,5,1
78,Broadway Brunch,Burgers,Breakfast & Brunch,True,21.0,4.5,5,1
79,Club Erotica,Adult Entertainment,Nightlife,False,4.0,2.5,5,1
80,Eat'n Park Restaurant,Restaurants,American (Traditional),True,5.0,4.0,5,1
81,Giant Eagle,Food,Grocery,True,4.0,3.5,5,1
82,Hunan Wok,Restaurants,Chinese,True,4.0,2.0,5,1
83,Pasquarelli's Pizza House,Restaurants,Pizza,True,13.0,4.0,5,1
84,Pat Catan's,Shopping,Art Supplies,False,3.0,4.0,5,1
85,Pierogies Plus,Event Planning & Services,Caterers,False,41.0,4.5,5,1
86,Ricci Italian Sausage,Food,Specialty Food,True,3.0,4.5,5,1
87,Empire Music,Shopping,Musical Instruments & Teachers,False,6.0,3.5,6,1
88,Jos. A. Bank,Men's Clothing,Fashion,False,4.0,1.5,6,1
89,L J Marks Jewelers,Local Services,Jewelry Repair,False,3.0,4.0,6,1
90,Panera Bread,Soup,Sandwiches,True,12.0,3.5,6,1
91,Michaels,Shopping,Arts & Crafts,False,12.0,3.0,7,1
92,Steak 'n Shake,Burgers,Fast Food,True,60.0,2.0,7,1
93,The Dragon Chinese Cuisine,Restaurants,Chinese,True,7.0,3.0,7,1
94,The Pizza Company,Restaurants,Pizza,True,12.0,4.0,7,1
95,Aamco Transmissions,Auto Repair,Automotive,False,21.0,4.5,8,1
96,Animal Rescue League Shelter & Wildlife Center,Animal Shelters,Veterinarians,False,43.0,4.0,8,1
97,Aracri's Greentree Inn,Italian,American (New),True,15.0,3.5,8,1
98,Atch-Mont Real Estate,Real Estate Services,Property Management,False,3.0,2.0,8,1
99,Atria's Restaurant,American (New),Sandwiches,True,69.0,3.0,8,1
100,Au Bon Pain Co,Food,Bakeries,False,7.0,3.0,8,1
101,Bado's Pizza Grill and Ale House,Italian,Bars,True,93.0,3.5,8,1
102,Bastone Auto Service,Auto Repair,Automotive,False,20.0,4.0,8,1
103,Bellisario's Pizza Palace,Italian,Pizza,True,21.0,3.5,8,1
104,Benedum Center for the Performing Arts,Opera & Ballet,Arts & Entertainment,False,56.0,4.5,8,1
105,Beto's Pizza,Restaurants,Pizza,True,145.0,4.0,8,1
106,Better-Maid Donut,Food,Bakeries,True,32.0,4.5,8,1
107,Big Burrito,Event Planning & Services,Caterers,False,3.0,5.0,8,1
108,Billy's Troy Hill Bistro,Restaurants,Cafes,True,5.0,3.0,8,1
109,Boehmer Heating & Cooling,Home Services,Heating & Air Conditioning/HVAC,False,13.0,4.0,8,1
110,BreadWorks,Food,Bakeries,True,17.0,4.5,8,1
111,Broadway Auto Parts,Auto Repair,Automotive,False,4.0,5.0,8,1
112,Brown Bag Delis,Restaurants,Delis,True,5.0,2.0,8,1
113,Bruegger's Bagels,Food,Sandwiches,True,23.0,3.0,8,1
114,Buffalo Blues,Restaurants,Bars,True,62.0,3.0,8,1
115,Buon Giorno Cafe,Restaurants,Italian,True,6.0,3.5,8,1
116,Cain's Saloon,Restaurants,American (New),True,106.0,3.5,8,1
117,Calabria's Italian Restaurant,Restaurants,Pizza,False,3.0,2.5,8,1
118,Candalina Brides,Shopping,Bridal,False,10.0,2.0,8,1
119,Cappy's Cafe,Bars,American (Traditional),True,51.0,3.0,8,1
120,Capristo Salon & Wellness Spa,Hair Salons,Beauty & Spas,False,59.0,3.5,8,1
121,Cardamone's Salon,Hair Salons,Beauty & Spas,False,28.0,4.5,8,1
122,Carnegie Library of Pittsburgh - East Liberty,Public Services & Government,Libraries,False,4.0,5.0,8,1
123,Cat Clinic & Hospital,Veterinarians,Pets,False,19.0,4.0,8,1
124,Children's Museum of Pittsburgh,Museums,Arts & Entertainment,False,51.0,5.0,8,1
125,Chinese Acupuncture & Herbs Center LLC,Acupuncture,Traditional Chinese Medicine,False,3.0,5.0,8,1
126,Christos Mediterranean Grille,Greek,Mediterranean,True,71.0,3.0,8,1
127,Chubby's Pizza & Hoagies Northside,Restaurants,Pizza,True,14.0,2.5,8,1
128,Cindy Esser's Floral Shop,Shopping,Flowers & Gifts,False,8.0,3.5,8,1
129,Cool Beans Coffee,Food,Coffee & Tea,False,4.0,5.0,8,1
130,Courtyard Pittsburgh Downtown,Hotels & Travel,Event Planning & Services,False,43.0,3.5,8,1
131,Crepes Parisiennes,Breakfast & Brunch,Creperies,True,73.0,4.0,8,1
132,Crouse Wayne Beer Distributor,Food,"Beer, Wine & Spirits",False,4.0,5.0,8,1
133,CVS Pharmacy,Shopping,Drugstores,False,5.0,2.0,8,1
134,Dairy Queen,Food,Ice Cream & Frozen Yogurt,True,10.0,3.5,8,1
135,Dan Cercone Hairstyling,Barbers,Beauty & Spas,False,32.0,4.5,8,1
136,Decio's Custom Tailoring & Formal Wear,Local Services,Sewing & Alterations,False,3.0,5.0,8,1
137,Dependable Brakes & Exhaust,Auto Repair,Automotive,False,4.0,5.0,8,1
138,Doc's Place,Bars,Pizza,True,21.0,3.0,8,1
139,Don's Diner,Restaurants,Diners,True,6.0,5.0,8,1
140,Dormont Public Library,Public Services & Government,Libraries,False,3.0,5.0,8,1
141,Dunning's Grill,Restaurants,American (Traditional),True,21.0,3.0,8,1
142,e.b. Pepper,Women's Clothing,Fashion,False,4.0,4.5,8,1
143,East End Community Thrift,"Used, Vintage & Consignment",Fashion,False,4.0,4.0,8,1
144,Eat'n Park Restaurant,Fast Food,American (Traditional),True,21.0,3.5,8,1
145,Econowash Laundry,Local Services,Dry Cleaning & Laundry,False,6.0,2.0,8,1
146,Eddie's Pizza Haus,Italian,Pizza,True,8.0,4.0,8,1
147,Elite Coach Limousine,Hotels & Travel,Airport Shuttles,False,3.0,2.5,8,1
148,Elks B P O,Arts & Entertainment,Social Clubs,False,3.0,5.0,8,1
149,Emmert Dental Associates,Health & Medical,Periodontists,False,6.0,1.5,8,1
150,Eons Fashion Antique,"Used, Vintage & Consignment",Fashion,False,27.0,4.5,8,1
151,Exercise Warehouse Gym,Active Life,Gyms,False,4.0,4.0,8,1
152,F. Tambellini Ristorante,Restaurants,Italian,True,16.0,2.0,8,1
153,Fiori's Pizzaria,Italian,Pizza,True,189.0,4.5,8,1
154,Fortunes Coffee Roastery,Food,Coffee & Tea,False,12.0,4.0,8,1
155,Galleria,Shopping,Shopping Centers,False,21.0,2.5,8,1
156,"Garrow Dennis D, DMD",Health & Medical,Dentists,False,3.0,5.0,8,1
157,Gateway Eye Assocs,Optometrists,Health & Medical,False,3.0,3.0,8,1
158,Geno Como Salon,Hair Salons,Beauty & Spas,False,7.0,3.0,8,1
159,Giant Eagle,Food,Grocery,True,18.0,2.5,8,1
160,Giant Eagle,Food,Grocery,False,10.0,3.0,8,1
161,Giant Eagle,Food,Grocery,True,10.0,2.5,8,1
162,Giant Eagle,Food,Grocery,False,21.0,1.5,8,1
163,Girasole Restaurant,Restaurants,Italian,True,217.0,3.5,8,1
164,Hair By Damian,Hair Salons,Day Spas,False,3.0,4.5,8,1
165,Hairdressers II,Hair Salons,Beauty & Spas,False,6.0,5.0,8,1
166,Harris Theater,Arts & Entertainment,Cinema,False,11.0,4.0,8,1
167,Healing Touch Massage Therapy,Massage,Beauty & Spas,False,4.0,4.5,8,1
168,Henne Jewelers,Shopping,Jewelry,False,17.0,4.5,8,1
169,Holiday Inn Express & Suites Pittsburgh West - Greentree,Hotels & Travel,Event Planning & Services,False,17.0,4.0,8,1
170,Hot Haute Hot,Home Services,Shopping,False,13.0,4.0,8,1
171,Huddle,Bars,American (Traditional),True,17.0,4.0,8,1
172,Il Pizzaiolo,Italian,Pizza,True,194.0,4.0,8,1
173,Izzazu Salon,Skin Care,Hair Salons,False,28.0,3.5,8,1
174,Jade 99 Asian Supermarket,Food,Grocery,True,3.0,3.5,8,1
175,"James M Kyros, DMD",Health & Medical,Dentists,False,3.0,3.5,8,1
176,Jiffy Lube,Oil Change Stations,Automotive,False,6.0,3.5,8,1
177,Jo Jo's Restaurant,Restaurants,American (Traditional),True,18.0,3.5,8,1
178,John Varney Tire & Auto Center,Tires,Automotive,False,3.0,5.0,8,1
179,Kards Unlimited,Shopping,Arts & Crafts,False,39.0,4.5,8,1
180,Katerbean,Food,Coffee & Tea,False,11.0,1.5,8,1
181,Kenny's Nail Center,Beauty & Spas,Nail Salons,False,19.0,3.0,8,1
182,Klavon's Ice Cream Parlor,Food,Ice Cream & Frozen Yogurt,True,103.0,4.0,8,1
183,Knossos Gyros & Sis-Kabob,Polish,Greek,True,16.0,3.5,8,1
184,La Feria,Peruvian,Latin American,True,75.0,4.0,8,1
185,La Gondola Pizzeria & Restaurant,Restaurants,Italian,True,29.0,4.5,8,1
186,La Prima Espresso Co,Food,Coffee & Tea,True,88.0,4.5,8,1
187,Le Mardi Gras,Food,Bars,False,48.0,4.0,8,1
188,Little Nipper's Pizza,Restaurants,Pizza,True,10.0,2.5,8,1
189,Little Tokyo,Sushi Bars,Japanese,True,127.0,4.0,8,1
190,Mad Mex - South Hills,Mexican,Tex-Mex,True,94.0,3.5,8,1
191,Majestic Nails,Beauty & Spas,Nail Salons,False,4.0,3.0,8,1
192,Market On Broadway IGA,Food,Grocery,False,6.0,3.0,8,1
193,Martik Family Dental LLC,Pediatric Dentists,Health & Medical,False,4.0,5.0,8,1
194,Max's Allegheny Tavern,German,Pubs,True,162.0,4.0,8,1
195,McDonald's,Burgers,Fast Food,True,5.0,2.0,8,1
196,Miller Ace Hardware,Shopping,Hardware Stores,False,5.0,4.5,8,1
197,Minutello's Restaurant & Lounge,Italian,Pizza,True,8.0,3.0,8,1
198,Monro Muffler Brake & Service,Tires,Automotive,False,9.0,2.0,8,1
199,Moonlite Cafe,Restaurants,Italian,True,20.0,4.5,8,1
200,Morton's The Steakhouse,Restaurants,American (Traditional),True,68.0,4.0,8,1
201,Motheral,Home Services,Real Estate,False,4.0,3.5,8,1
202,Mt Lebanon Chiropractic,Nutritionists,Health & Medical,False,3.0,5.0,8,1
203,Mt Troy Inn,Bars,Nightlife,False,3.0,3.5,8,1
204,Mt. Ararat Baptist Church,Churches,Religious Organizations,False,4.0,5.0,8,1
205,Mullin's Diner,Restaurants,American (Traditional),True,11.0,3.5,8,1
206,National Tire & Battery,Tires,Automotive,False,8.0,2.0,8,1
207,New Sambok Oriental Foods,Food,Grocery,True,19.0,4.0,8,1
208,Nicholas Coffee,Food,Coffee & Tea,True,66.0,4.0,8,1
209,Nico's Recovery Room,Bars,American (Traditional),True,24.0,3.5,8,1
210,Novak Berkowitz & Rosenberg MD,Doctors,Ophthalmologists,False,3.0,1.0,8,1
211,Opening Night Caterers,Event Planning & Services,Caterers,False,4.0,5.0,8,1
212,Original Fish Market,Restaurants,Seafood,True,76.0,2.5,8,1
213,Paddy Cake Bakery,Food,Bakeries,True,28.0,3.5,8,1
214,Page Dairy Mart,Food,Ice Cream & Frozen Yogurt,True,95.0,4.5,8,1
215,Papa J's Centro,Restaurants,Italian,True,18.0,3.0,8,1
216,Party Cake Shop,Food,Bakeries,True,22.0,4.0,8,1
217,Payless Shoe Source,Shopping,Fashion,False,3.0,3.5,8,1
218,Penn-Garrison,Home Services,Real Estate,False,3.0,2.5,8,1
219,Pennsylvania Macaroni Co,Food,Cheese Shops,True,151.0,4.5,8,1
220,Petraglia James F DMD,Health & Medical,Dentists,False,5.0,4.0,8,1
221,Pfennig's Cleaners Inc,Local Services,Dry Cleaning & Laundry,False,4.0,4.0,8,1
222,Pino's Contemporary Italian Restaurant & Wine Bar,Restaurants,Tapas/Small Plates,True,65.0,3.0,8,1
223,Pirollo Paul Barber Shop,Barbers,Beauty & Spas,False,3.0,4.5,8,1
224,Pittsburgh City Paper,Print Media,Mass Media,False,3.0,3.0,8,1
225,Pittsburgh CLO,Local Services,Arts & Entertainment,False,20.0,4.5,8,1
226,Pittsburgh Eye Associates,Optometrists,Ophthalmologists,False,3.0,3.5,8,1
227,Pittsburgh Opera,Arts & Entertainment,Performing Arts,False,6.0,4.5,8,1
228,Pittsburgh Toy Lending Library,Public Services & Government,Libraries,False,4.0,5.0,8,1
229,Pizza Hut,Italian,Pizza,True,6.0,1.5,8,1
230,Prantl's Bakery,Food,Bakeries,True,142.0,4.0,8,1
231,Prestogeorge Coffee & Tea,Food,Specialty Food,True,58.0,4.5,8,1
232,Primanti Bros.,Restaurants,Bars,True,463.0,3.5,8,1
233,Pub In the Park,Pubs,Bars,False,6.0,4.5,8,1
234,Quest Diagnostics,Diagnostic Services,Health & Medical,False,3.0,5.0,8,1
235,Quiet Storm Vegetarian & Vegan Cafe,Food,Coffee & Tea,True,144.0,4.0,8,1
236,Randall S W Toyes and Giftes,Shopping,Toy Stores,False,3.0,4.5,8,1
237,Rangos Omnimax Theater,Arts & Entertainment,Cinema,False,6.0,4.5,8,1
238,Remember When,Food,Ice Cream & Frozen Yogurt,True,11.0,3.5,8,1
239,Renaissance Pittsburgh Hotel,Hotels & Travel,Event Planning & Services,False,112.0,4.0,8,1
240,Ritters Diner,Breakfast & Brunch,American (Traditional),True,146.0,3.5,8,1
241,Roland's Seafood Grill,Restaurants,Seafood,True,219.0,2.5,8,1
242,Rollier's Hardware,Shopping,Hardware Stores,False,20.0,4.0,8,1
243,Roxanne's Dried Flowers,Gift Shops,Flowers & Gifts,False,17.0,4.5,8,1
244,Rudy Martino Original House of Submarines,Sandwiches,Diners,True,5.0,5.0,8,1
245,Ruffing Automotive,Auto Repair,Automotive,False,3.0,3.5,8,1
246,Salon DeStefino,Hair Salons,Hair Removal,False,9.0,3.0,8,1
247,Salon Vivace,Hair Salons,Day Spas,False,8.0,4.0,8,1
248,Salonika Gyros,Greek,Mediterranean,True,44.0,3.5,8,1
249,Sapporo Japanese Steakhouse,Seafood,Steakhouses,True,10.0,4.0,8,1
250,Scoops On Beverly,Food,Ice Cream & Frozen Yogurt,True,18.0,4.0,8,1
251,Sergio's Style,Hair Salons,Eyelash Service,False,34.0,4.5,8,1
252,Shadyside Valet,Local Services,Dry Cleaning & Laundry,False,11.0,2.5,8,1
253,Sichuan House Chinese Restaurant,Restaurants,Chinese,True,3.0,3.5,8,1
254,Smithfield Cafe,American (Traditional),Cafes,True,17.0,3.5,8,1
255,Smithfield News,Newspapers & Magazines,"Books, Mags, Music & Video",False,4.0,4.0,8,1
256,Society For Contemporary Craft,Arts & Entertainment,Art Galleries,False,6.0,4.0,8,1
257,Soho,Restaurants,American (New),True,94.0,3.0,8,1
258,Sound Cat Records,Music & DVDs,"Books, Mags, Music & Video",False,16.0,5.0,8,1
259,Spaghetti Warehouse,Restaurants,Italian,True,97.0,2.5,8,1
260,"Staab & Sons, Inc.",Home Services,Plumbing,False,4.0,2.0,8,1
261,Starbucks,Food,Coffee & Tea,False,9.0,4.0,8,1
262,Supercuts,Hair Salons,Beauty & Spas,False,5.0,3.0,8,1
263,Taco Bell,Fast Food,Mexican,True,6.0,3.5,8,1
264,Tazza D'oro Cafe & Espresso Bar,Food,Coffee & Tea,True,117.0,4.5,8,1
265,Tepe Chiropractic Center,Health & Medical,Massage,False,13.0,5.0,8,1
266,The Bloomfield Sandwich Shop,Breakfast & Brunch,Sandwiches,True,41.0,4.0,8,1
267,The Collection,Local Services,Jewelry Repair,False,8.0,4.5,8,1
268,The Dor-Stop Restaurant,Breakfast & Brunch,Diners,True,275.0,4.5,8,1
269,The Exchange,Music & DVDs,"Books, Mags, Music & Video",False,3.0,3.5,8,1
270,The Home Depot,Shopping,Hardware Stores,False,33.0,3.0,8,1
271,The Isaly Company,Food,Ice Cream & Frozen Yogurt,True,4.0,3.5,8,1
272,The Korner Pub,Pubs,Bars,False,8.0,4.5,8,1
273,The Mansion at Maple Heights,Hotels & Travel,Bed & Breakfast,False,15.0,3.5,8,1
274,The Park House,Pubs,Bars,True,61.0,4.0,8,1
275,The Pittsburgh Cultural Trust,Arts & Entertainment,Performing Arts,False,3.0,3.5,8,1
276,Time Bomb Spot,Women's Clothing,Men's Clothing,False,5.0,4.5,8,1
277,Toadflax Inc,Shopping,Flowers & Gifts,False,12.0,4.0,8,1
278,Tom Fridays Market,Food,Specialty Food,True,9.0,5.0,8,1
279,Tramp's Restaurant,Bars,American (Traditional),True,4.0,3.5,8,1
280,Twisters Soft Serve Ice Cream,Food,Ice Cream & Frozen Yogurt,True,16.0,3.5,8,1
281,UPMC Dermatology - Shadyside,Dermatologists,Doctors,False,4.0,3.0,8,1
282,Uptown Coffee,Food,Bakeries,True,44.0,4.0,8,1
283,Walter's Automotive,Auto Repair,Automotive,False,99.0,5.0,8,1
284,Washington's Landing Marina,Active Life,Boating,False,3.0,3.0,8,1
285,West Liberty Cycles,Sporting Goods,Bikes,False,8.0,4.5,8,1
286,Wiseguys Pizza,Restaurants,Pizza,True,12.0,3.0,8,1
287,X Shadyside,Active Life,Yoga,False,31.0,3.5,8,1
288,Bar Louie,Bars,American (New),True,92.0,2.5,9,1
289,Panera Bread,Soup,Sandwiches,True,25.0,3.0,9,1
290,RDN Plumbing,Plumbing,Water Heater Installation/Repair,False,7.0,4.5,9,1
291,Bellisario Pizza Shop,Restaurants,Pizza,True,6.0,3.5,10,1
292,Big Bang Bicycles,Sporting Goods,Bikes,False,18.0,4.5,10,1
293,Cat Around Town,Pet Groomers,Pet Services,False,3.0,5.0,10,1
294,Giant Eagle,Food,Grocery,False,4.0,2.5,10,1
295,Hunan Wok Chinese Restaurant,Restaurants,Chinese,True,3.0,5.0,10,1
296,Latina Pizza,Restaurants,Pizza,True,6.0,4.5,10,1
297,McDonald's,Burgers,Fast Food,False,5.0,1.5,10,1
298,Shop 'n Save,Food,Grocery,False,3.0,3.0,10,1
299,Voyager Jet Center,Hotels & Travel,Airports,False,3.0,4.5,10,1
300,Buffalo Wild Wings,Bars,American (Traditional),True,171.0,3.0,11,2
301,Denny's,Breakfast & Brunch,American (Traditional),True,77.0,2.5,11,2
